#	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CD4_unstim_rep1 Tag Count in given bp (62671149.0 Total, normalization factor = 1, effective total = 10000000)	CD4_unstim_rep2 Tag Count in given bp (113653906.0 Total, normalization factor = 1, effective total = 10000000)	CD4_unstim_rep3 Tag Count in given bp (89185726.0 Total, normalization factor = 1, effective total = 10000000)	CD4_stim_rep1 Tag Count in given bp (96241364.0 Total, normalization factor = 1, effective total = 10000000)	CD4_stim_rep2 Tag Count in given bp (103774262.0 Total, normalization factor = 1, effective total = 10000000)	CD4_stim_rep3 Tag Count in given bp (83037238.0 Total, normalization factor = 1, effective total = 10000000)	bg vs. target Log2 Fold Change	bg vs. target p-value	bg vs. target adj. p-value
chr3-5181	chr3	46046419	46046591	+	1.64	0.763	NA	NA	NA	NA									6.07856196743489	5.3573911679518	5.53989066405377	3.93365581591821	3.37489417323895	4.24488891166667	-2.48395417205378	8.0922972723513e-09	1.26891308074372e-07
chr2-3719	chr2	73908064	73908236	+	3.99	0.727	NA	NA	NA	NA									4.58834921692973	4.38443378700443	4.81319283258837	4.60016239823498	4.78687024743196	4.57867394979565	0.0756380870392295	0.860748780191993	0.918577479079669
chr1-1469	chr1	202927144	202927316	+	20.9	0.712	NA	NA	NA	NA									7.28733386601611	7.23182215301927	7.17633694466591	7.22263667747248	7.21941625926081	6.97398402682071	-0.0954546438144081	0.671933891849254	0.78989854208519
chr4-1219	chr4	2570935	2571107	+	6.57	0.711	NA	NA	NA	NA									6.05836627430373	6.1582263118142	6.54010688970167	5.03297910117947	5.85354909698547	5.52477661968596	-0.937239900496427	0.00517248292411236	0.0175217829163854
chr10-1661	chr10	103132996	103133168	+	5.74	0.737	NA	NA	NA	NA									2.9420993891734	3.00183346814731	2.96216516111373	4.46869167790352	5.06017583377821	4.61684774422192	3.44222921959394	9.49661151904091e-07	9.6393435248334e-06
chr9-2378	chr9	35619899	35620071	+	2.37	0.675	NA	NA	NA	NA									3.03633452339638	2.81644490818523	3.28117856989292	3.59990359573669	3.83522668243358	3.24310850107428	1.14823129239725	0.0982704546232783	0.193024194143432
chr5-4183	chr5	112419925	112420097	+	1.61	0.615	NA	NA	NA	NA									2.61955871585482	2.90304982842672	2.53915977425484	3.30458525493201	2.93196028747054	3.01594447473808	0.980565210070996	0.207894759784292	0.345023748033928
chr18-1358	chr18	54983293	54983465	+	1.96	0.615	NA	NA	NA	NA									2.84159197854454	3.89066849192431	3.7795829801736	3.65826455020905	3.35649257965983	3.87437125364191	0.0833719919740032	0.896728602316666	0.94075708746418
chr19-1363	chr19	1065033	1065205	+	11.4	0.713	NA	NA	NA	NA									6.37658574661502	6.16724166960006	6.41177624011352	5.97727171356562	6.31574857009046	6.20395613959299	-0.178531714675544	0.522571425879771	0.671096449776371
chr18-1282	chr18	24412708	24412880	+	2.12	0.644	NA	NA	NA	NA									2.7111073061752	2.1872814255525	2.16423850685288	2.63413151967036	3.64976496459564	3.37924888363262	2.46341134698393	0.00838080711588607	0.0261042993163253
